Птица дивная 1/6бл*18шт. 40гр. ( конфеты )	15,00
Венские вафли мягкие сливочные 1/65гр.*36шт. (вафли) 401	15,06
Особый 25 гр. 192 шт ( конфеты)	15,23
Особый 25 гр. 192 шт ( конфеты)	15,23
Нутелла 1/120шт 15гр (Паста)	15,30
Нутелла 1/40шт 15гр (Паста)	15,30
Мишка на Севере шоколад с вафлями 1/40гр.*4бл.*20шт (шоколад)	15,33
Обыкновенное чудо кокосовое 1/30шт. 60 гр. ( вафли )	15,40
Обыкновенное чудо сливочное 1/30 шт. 55 гр (вафли)	15,40
Обыкновенное чудо шоколадное 1/30 шт. 55 гр (вафли)	15,40
Козинак арахисовый 60гр. 1* 4 бл.*21 шт.	15,41
Чупа Чупс двойная порция ассорти 3-х вкусов 1/24шт 16,8 гр	15,41
Коровка (топлёное молоко) глазир. 1/50 грх25 шт*6 бл (вафли) ФА	15,51
Белый пористый 22,5 гр 1/20шт(шоколад)	15,51
Молочный пористый 22,5 гр 1/20шт(шоколад)	15,51
Обыкновенное чудо кокосовое 1/30шт. 60 гр. ( вафли )	15,66
Обыкновенное чудо сливочное 1/30 шт. 55 гр (вафли)	15,66
Обыкновенное чудо шоколадное 1/30 шт. 55 гр (вафли)	15,66
Хорошая компания молочная пористая 1/80гр 16шт (конд. плитка)	15,84
Шоко медали Новогодние 1/24 шт 25гр .1/4бл (медали)	15,99
Шоко медали Знаки зодиака 1/24 шт 25гр .1/4бл	16,00
Шоко медали Императоры России 1/24 шт 25гр .1/4бл	16,00
Шоко медали Пиастры 1/24 шт 25гр .1/4бл (медали)	16,00
Белый пористый 30 гр 1/40 шт	16,06
Злитный горький пористый 30 гр 1/40 шт	16,06
Молочный пористый 30 гр 1/40 шт	16,06
Шоколадные конфеты	16,06
Ш-д Бабаевский горький (1*2*128) 20гр. ( шоколад )	16,17
Ш-д Бабаевский горький ш/б 20гр.64шт *4бл плитки ( шоколад )	16,17
Хорошая компания молочная с арахисом 1/80гр 20шт (конд. плитка)	16,17
Хорошая компания молочная с вафельной крошкой 1/80гр 20шт (конд. плитка)	16,17
Нежное чудо 1/30 шт. 60 гр. ( вафли ) 84-41	16,26
Особый 25 гр. 6*32 шт ( конфеты)	16,35
ОРЕО 38гр.*12шт. (456гр.) (в кор. 9 блоков) (печенье)	16,56
Улыбка зимы со вкусом пломбира 1/90гр 18шт .( вафли )	16,58
Milky Way (обычный) 1*6бл.*36шт. 26гр.	16,59
Артек/Артек плюс 1/100гр х 40 шт (вафли) ф/п	16,62
Любимое затяжное Традиционное 1/175гр 20шт .(печенье)	16,72
Eco- botanica с клубникой и вишней 1/25 гр 15 шт 4бл (злаковый батончик)	16,72
Eco- botanica с малиной и ежевикой 1/25 гр 15 шт 4бл (злаковый батончик)	16,72
Детский сувенир 1/35шт. 50гр. (батончики )	16,77
